season,week,legs,parlay_label,joint_prob,decimal_odds,expected_value_units,same_game_penalty_applied,mean_edge,result,stake_units,profit_units,books
2024,17,2,00-0026300 passing_yards over | 00-0036928 passing_yards over,0.9999998893173334,3.6446280991735542,2.6446276957763977,1.0,0.47619042084914276,loss,1.0,-1.0,synthetic
2024,17,2,00-0026300 passing_yards over | 00-0033869 passing_yards over,0.9999997625219861,3.6446280991735542,2.6446272336545116,1.0,0.476190357451469,win,1.0,2.6446280991735542,synthetic
2024,17,2,00-0036928 passing_yards over | 00-0033869 passing_yards over,0.9999996557721914,3.6446280991735542,2.6446268445912104,1.0,0.47619030407655905,loss,1.0,-1.0,synthetic
2024,18,2,00-0034401 passing_yards over | 00-0038582 passing_yards over,0.9999987762909452,3.6446280991735542,2.644623639209148,1.0,0.47618986433591376,loss,1.0,-1.0,synthetic
2025,2,2,00-0038416 passing_yards over | 00-0036223 carries under,0.9999975645153192,3.6446280991735542,2.644619222737651,1.0,0.47618925844771537,win,1.0,2.6446280991735542,synthetic
2025,18,2,00-0033319 passing_yards over | 00-0038582 completions over,0.9999962211575739,3.6446280991735542,2.6446143266982656,1.0,0.4761885867692596,win,1.0,2.6446280991735542,synthetic
2024,18,2,00-0038582 passing_yards over | 00-0034401 completions over,0.9999961134491376,3.6446280991735542,2.644613934141072,1.0,0.4761885329134608,loss,1.0,-1.0,synthetic
2025,14,2,00-0038102 passing_yards over | 00-0033319 completions over,0.9999958808637466,3.6446280991735542,2.6446130864538206,1.0,0.476188416621248,win,1.0,2.6446280991735542,synthetic
2025,2,2,00-0036223 carries under | 00-0038416 completions over,0.9999952579278337,3.6446280991735542,2.6446108160840884,1.0,0.47618810515164406,win,1.0,2.6446280991735542,synthetic
2024,17,2,00-0026300 passing_yards over | 00-0036928 completions over,0.9999949718790445,3.6446280991735542,2.644609773542634,1.0,0.4761879621299935,loss,1.0,-1.0,synthetic
2025,18,2,00-0033319 passing_yards over | 00-0033869 completions over,0.9999949278686981,3.6446280991735542,2.644609613141289,1.0,0.4761879401248205,win,1.0,2.6446280991735542,synthetic
2025,18,2,00-0033319 passing_yards over | 00-0038582 passing_yards over,0.9999948406110433,3.6446280991735542,2.6446092951195883,1.0,0.47618789649599297,win,1.0,2.6446280991735542,synthetic
2024,17,2,00-0033869 passing_yards over | 00-0036928 completions over,0.9999947383350509,3.6446280991735542,2.6446089223616323,1.0,0.47618784535740977,loss,1.0,-1.0,synthetic
2024,17,2,00-0036928 passing_yards over | 00-0026300 completions over,0.9999939258955514,3.6446280991735542,2.6446059613218034,1.0,0.4761874391379276,loss,1.0,-1.0,synthetic
2024,17,2,00-0033869 passing_yards over | 00-0026300 completions over,0.9999937991009602,3.6446280991735542,2.6446054992026733,1.0,0.4761873757402538,win,1.0,2.6446280991735542,synthetic
2025,1,2,00-0036223 carries under | 00-0032764 carries under,0.9999931761019222,3.6446280991735542,2.644603228602874,1.0,0.4761870642414338,win,1.0,2.6446280991735542,synthetic
2025,1,2,00-0036223 carries under | 00-0034844 carries under,0.9999931761019222,3.6446280991735542,2.644603228602874,1.0,0.4761870642414338,win,1.0,2.6446280991735542,synthetic
2025,1,2,00-0036223 carries under | 00-0038542 carries under,0.9999931761019222,3.6446280991735542,2.644603228602874,1.0,0.4761870642414338,win,1.0,2.6446280991735542,synthetic
2025,14,2,00-0033319 completions over | 00-0038102 completions over,0.9999922953328705,3.6446280991735542,2.644600018527239,1.0,0.47618662384955773,win,1.0,2.6446280991735542,synthetic
2024,18,2,00-0034401 passing_yards over | 00-0038582 completions over,0.9999919369932075,3.6446280991735542,2.6445987125124346,1.0,0.4761864446868392,loss,1.0,-1.0,synthetic
